CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
65622,33168,33114,2,Duke University School of Medicine,170897317.0,1981,1985,2,1,1,0,1,1,484,1973.0,9.877551020408164,102321,2088.183673469388,1564,31.91836734693877,1980.0,1,8,2,2.142857142857143,85.5,1980.0,12.0,51,0,1
65623,33168,35008,2,Duke University School of Medicine,170897317.0,1981,1985,3,1,1,0,1,1,24,1958.0,0.4528301886792453,3617,68.24528301886792,68,1.2830188679245282,1980.0,1,8,2,2.142857142857143,85.5,1980.0,27.0,2,0,1
65624,33168,33414,2,Duke University School of Medicine,170897317.0,1981,1985,2,2,1,-1,1,1,103,1974.0,3.678571428571429,10936,390.57142857142856,169,6.035714285714287,1980.0,1,8,2,2.142857142857143,85.5,1980.0,11.0,28,0,1
65631,55328,16019,1,Brandeis University,6902469.0,-1,1962,20,5,0,1,0,0,309,1958.0,6.18,31152,623.04,140,2.8,1964.0,12,960,16,2.32,149.8,1962.0,4.0,38,0,1
65691,15771,55366,2,"University of Bonn, Germany",135140700.0,1994,1995,3,2,3,-1,1,1,995,1983.0,25.512820512820515,107326,2751.9487179487182,1629,41.769230769230774,1994.0,27,2650,60,5.678571428571429,581.2142857142858,1994.0,12.0,86,6,1
65703,55376,1276,1,Yale University,32971472.0,1976,1982,16,1,0,0,0,0,1340,1971.0,26.27450980392157,143449,2812.7254901960773,539,10.568627450980392,-1.0,0,0,0,0.0,0.0,1982.0,11.0,88,0,0
65723,55396,9178,1,"Ohio State University, Columbus",52357470.0,-1,1955,23,7,0,1,0,0,54,1942.0,0.7012987012987013,59284,769.922077922078,31,0.4025974025974026,1957.0,4,471,1,0.3921568627450979,41.117647058823536,1955.0,13.0,9,0,1
65758,29203,55425,1,Nice,,1962,1965,1,1,0,0,1,0,0,-1.0,0.0,0,0.0,0,0.0,1967.0,6,1265,9,3.3454545454545452,293.2909090909091,1965.0,-1.0,0,0,1
1536721,37356,15902,1,Harvard University,136199984.0,-1,1904,15,5,1,1,1,1,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1904.0,-1.0,0,0,0
65765,32338,55432,1,Federal University of Minas Gerais,,1991,1994,3,2,4,-1,1,1,217,1968.0,4.018518518518518,8779,162.5740740740741,530,9.814814814814817,1993.0,24,848,40,9.06896551724138,294.2068965517241,1993.0,26.0,15,7,1
